group,id,endpoint,verb,auth,lines,triage,triage_reason,tables_written,tables_read_or_written,external_calls,env_vars,has_retry_loop,errors,inputs,description
3_Event Logs,40,purchases,GET,none,15,DROP,Xano starter template; zero traffic,,Purchases,,,,,,Query all Purchases records
3_Event Logs,41,purchases,POST,none,19,DROP,Xano starter template; zero traffic,Purchases,Purchases,,,,,,Add Purchases record
3_Event Logs,42,purchases/{purchases_id},PATCH,none,26,DROP,Xano starter template; zero traffic,Purchases,Purchases,,,,,uuid:purchases_id?,Edit Purchases record
4_scripters,43,sync_user,POST,none,108,NOT PORTED,"Memberstack-era leftover. User_01 holds 33 rows, all created 2026-02-23..2026-03-19, none since; children.user_01_id is null in all 505 rows; no Memberstack reference in the frontend. Decision: do not port. The User_01 table and its data are KEPT — not dropped.",User_01,User_01,https://admin.memberstack.com/members/,MEMBERSTACK_JWK,,Invalid Authorization header format. Expected Bearer token. | Invalid token payload: missing user ID | Missing Authorization token in header of Request,,Sync user from Memberstack or return existing user
4_scripters,44,get_children,GET,user,50,PORT,called by the frontend | auth=user copied verbatim,,"Insights,Purchases,children,user",,,,,,Fetches children for the authenticated user using an external validation API.
4_scripters,45,add_children,POST,user,92,PORT,called by the frontend | auth=user copied verbatim,children,children,https://maps.googleapis.com/maps/api/place/details/json,GOOGLE_GEOCODING_API_KEY,,Record already exists,text:name text:relationship_focus date?:dob? text?:place_of_birth? text?:place_of_birth_id? text?:pronoun?,
4_scripters,46,sync_purchase,POST,none,106,NOT PORTED,"Memberstack-era leftover. User_01 holds 33 rows, all created 2026-02-23..2026-03-19, none since; children.user_01_id is null in all 505 rows; no Memberstack reference in the frontend. Decision: do not port. The User_01 table and its data are KEPT — not dropped.",Purchases,Purchases,,EXTERNAL_VALIDATE_USER_API_URL,,,uuid:child_id uuid:journey_id text:purchase_source? text:purchase_reference?,"Syncs a purchase record. Returns existing if found, creates new if not."
4_scripters,47,submit_onboarding,POST,user,501,PORT,called by the frontend | auth=user copied verbatim,"Insights,children","Insights,Purchases,children,user",https://mamas-medicine-frontend-rosy.vercel.app/api/send-insight | https://maps.googleapis.com/maps/api/place/details/json,"EXTERNAL_INSIGHT_API_URL,EXTERNAL_VALIDATE_USER_API_URL,GOOGLE_PLACES_AUTOCOMPLETE_API_KEY",yes,No purchase found for this journey and child.,uuid:child_id uuid:journey_id object:onboarding_payload text:user_relation?,"Starts insight generation. Confirms purchase, creates insight record with unique request_id, triggers external API with retries, and updates status."
4_scripters,48,dashboard_state,GET,none,214,NOT PORTED,"Memberstack-era, and cannot succeed today: (1) authenticates via $env.EXTERNAL_VALIDATE_USER_API_URL, the Memberstack validator; (2) requires child.user_01_id == user_id, but user_01_id is null in all 505 children rows, so the precondition always fails; (3) queries Insights.user_id, a column that does not exist (the column is real_user_id). Not ported.",,"Insights,Journey,Purchases,children",,EXTERNAL_VALIDATE_USER_API_URL,,,uuid:child_id,"Retrieves the dashboard state for a specific child, calculating the status of each journey based on purchases and insights."
4_scripters,49,places_autocomplete,GET,none,56,PORT,called by the frontend | auth=none copied verbatim,,,,GOOGLE_GEOCODING_API_KEY,,Search query must be at least 3 characters long.,text:q,Autocomplete address search using Google Places API
4_scripters,50,places_details,GET,none,81,PORT,"live group; port as-is, auth copied exactly | auth=none copied verbatim",,,https://maps.googleapis.com/maps/api/place/details/json,GOOGLE_PLACES_AUTOCOMPLETE_API_KEY,,Latitude must be between -90 and 90. | Longitude must be between -180 and 180.,text:place_id,"Fetches address details, coordinates, and country code from Google Places API based on a place_id."
4_scripters,51,validate_user,GET,none,119,NOT PORTED,"Memberstack-era leftover. User_01 holds 33 rows, all created 2026-02-23..2026-03-19, none since; children.user_01_id is null in all 505 rows; no Memberstack reference in the frontend. Decision: do not port. The User_01 table and its data are KEPT — not dropped.",,User_01,,MEMBERSTACK_JWK,,,,"Extracts JWT from headers, calls Memberstack API to decode/verify, and retrieves the corresponding User_01 record."
4_scripters,52,auth/signup,POST,none,75,PORT,called by the frontend | auth=none copied verbatim,"Purchases,children,user","Purchases,children,user",,,,This account is already in use.,text:name? email:email? password:password?,Signup and retrieve an authentication token
4_scripters,53,auth/login,POST,none,39,PORT,called by the frontend | auth=none copied verbatim,,user,,,,Invalid Credentials.,email:email? text:password?,Login and retrieve an authentication token
4_scripters,54,auth/me,GET,user,27,PORT,called by the frontend | auth=user copied verbatim,,user,,,,,,Get the record belonging to the authentication token
4_scripters,61,create_checkout_session,POST,none,44,PORT,called by the frontend | auth=none copied verbatim,,,https://api.stripe.com/v1/checkout/sessions,,,,text:success_url? text:cancel_url? text?:client_reference_id? text?:customer_email? bool:send_email?,Creates a Session object.
4_scripters,62,checkout,POST,none,170,PORT,"live group; port as-is, auth copied exactly | auth=none copied verbatim",Purchases,"Insights,Purchases,children,user",https://a.klaviyo.com/api/profile-subscription-bulk-create-jobs/ | https://mamas-medicine-frontend-rosy.vercel.app/api/send-insight | https://parenting-insights.soul-sighted.com/api/send-purchase-email,,,,json:__self?,Process purchase webhook and handle email or child reference
4_scripters,63,otp/store,POST,none,49,PORT,called by the frontend | auth=none copied verbatim,user,user,,,,User not found,email:email text:otp int:expiresIn,Stores an externally generated OTP for password reset.
4_scripters,64,verify_otp,POST,none,47,PORT,called by the frontend | auth=none copied verbatim,user,user,,,,Invalid OTP code. Please try again. | OTP has expired. Please request a new one. | User not found.,text:email text:otp,
4_scripters,65,update_password,POST,none,38,PORT,called by the frontend | auth=none copied verbatim,user,user,,,,404 Not Found,text:email text:newPassword,Updates a user's password based on their email address.
4_scripters,66,scheduled_email,POST,none,33,PORT,"live group; port as-is, auth copied exactly | auth=none copied verbatim",Email,Email,,,,,email:email text:subject text:body timestamp:scheduled_time,Creates a new email record to be scheduled
4_scripters,67,deliver_email,POST,none,33,PORT,called by the frontend | auth=none copied verbatim,Email,Email,,,,Email record not found.,int:email_id,Marks an email as delivered.
4_scripters,68,get_pending_emails,GET,none,23,PORT,called by the frontend | auth=none copied verbatim,,Email,,,,,timestamp:current_time,Retrieve pending emails to be sent based on current time.
4_scripters,69,Profile,POST,none,11,PORT,"live group; port as-is, auth copied exactly | auth=none copied verbatim",,,,,,,,
4_scripters,70,get_child_by_id,GET,user,27,PORT,called by the frontend | auth=user copied verbatim,,children,,,,You do not have permission to view this record.,text:child_id,"auth = ""user"""
4_scripters,73,register_passwordless,POST,none,42,PORT,called by the frontend | auth=none copied verbatim,user,user,,,,This account is already in use.,text:name? email:email?,Register User without need of password
4_scripters,74,track_onboarding_visit,POST,none,82,PORT,called by the frontend | auth=none copied verbatim,onboarding_visit,onboarding_visit,,,,Unable to determine the onboarding flow for this session,text:session_id text:flow? text:step int:step_index,Records that a user reached a stage of the /signup-flow onboarding.
4_scripters,75,onboarding_visit_stats,GET,none,35,PORT,called by the frontend | auth=none copied verbatim,,onboarding_visit,,,,,,Onboarding funnel data for the /signup-flow marketing funnel.
5_stripe_checkout,56,sessions,POST,none,38,DROP?,Stripe template; writes `session` (0 rows). CONFIRM Stripe is not pointed here,,,https://api.stripe.com/v1/checkout/sessions,,,,text:success_url? text:cancel_url?,Creates a Session object.
5_stripe_checkout,57,sessions,GET,none,48,DROP?,Stripe template; writes `session` (0 rows). CONFIRM Stripe is not pointed here,,,https://api.stripe.com/v1/checkout/sessions,,,,bool?:payment_intent? text?:starting_after? int:limit? text?:ending_before? bool?:subscription?,Returns a list of Checkout Sessions.
5_stripe_checkout,58,sessions/{id},GET,none,25,DROP?,Stripe template; writes `session` (0 rows). CONFIRM Stripe is not pointed here,,,https://api.stripe.com/v1/checkout/sessions/%s,,,,text:id?,Retrieves a Session object.
5_stripe_checkout,59,sessions/{id}/line_items,GET,none,41,DROP?,Stripe template; writes `session` (0 rows). CONFIRM Stripe is not pointed here,,,https://api.stripe.com/v1/checkout/sessions/%s/line_items,,,,int:limit? text:starting_after? text:id?,"When retrieving a Checkout Session, there is an includable line_items property containing the first handful of those items. There is also a URL where you can retrieve the full (paginated) list of line items."
5_stripe_checkout,60,webhooks,POST,none,41,DROP?,Stripe template; writes `session` (0 rows). CONFIRM Stripe is not pointed here,session,session,https://mamas-medicine-frontend-rosy.vercel.app/subscribe-marketing,,,,json:__self?,Webhook endpoint for checkout session
